random_id,condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time
155528,control,99.08333333333333,-148,77.75,-95.83333333333333,52.299614961119076,1489.3333333333333,93.08562887843885,1081.9166666666667,-43.39508844259844,1070.1666666666667,25.554385986499433,2539.625,1,1.25,0.75,0.5833333333333334,3075.8333333333335,0,319.0833333333333
155528,phon,133.36363636363637,-113.81818181818181,86.27272727272727,-91.63636363636364,-127.89840837834498,1194.7272727272727,36.262151373641565,788.4545454545455,-156.9043114806754,1055.5454545454545,-49.48274502120834,-3306.5454545454545,1.5454545454545454,1.2727272727272727,0.6363636363636364,0.8181818181818182,2946.3636363636365,2.8181818181818183,171.72727272727272
155528,sem,114.25,-117.91666666666667,123.75,-52.833333333333336,9.188116185922988,989.5833333333334,50.601478507027224,845,-55.01886685292787,1154.9166666666667,1.6823878976847577,-1671.75,1.5,1.4166666666666667,0.5,0.8333333333333334,2476.5,0,120.75
155528,sem_phon,133.83333333333334,-117.58333333333333,89.91666666666667,-96.91666666666667,-109.2198042108316,1006.1666666666666,37.602358690671004,499.8333333333333,-140.79179373187006,1275.5833333333333,-54.36336112948125,-1086.7916666666667,1.25,1.5,0.5833333333333334,0.9166666666666666,3007.5833333333335,1.25,276.75
183904,control,76.08333333333333,-128.08333333333334,61.25,-59,-114.90606718619995,2119.1558333334347,29.823874832825584,1692.824583333336,-137.37943582054015,1962.9779166668511,-34.44184939184169,-1030.0833333333333,3.4166666666666665,3.3333333333333335,1.25,1.5833333333333333,4131.65333333327,29.65291666716924,1917.4050000036539
183904,phon,133.0909090909091,-82.36363636363636,69.27272727272727,-55.45454545454545,109.82075285471322,2059.7999999996314,145.98403320660245,2239.6104545453563,-36.6778053884758,1866.7231818175549,36.150615092004216,623.9090909090909,2.909090909090909,2.727272727272727,1.4545454545454546,1.0909090909090908,3860.190000000059,32.34090909034157,1750.6831818183869
183904,sem,77.75,-118.75,60,-57.333333333333336,37.024068954375444,2304.5145833336314,112.17931880327401,2007.1583333337967,-76.32978484229922,2055.7000000004896,11.30847919172841,1756.8333333333333,2.9166666666666665,2.75,1.5,0.8333333333333334,4382.307083333766,253.31541666703015,1719.5887499985918
183904,sem_phon,135.45454545454547,-74.36363636363636,51.36363636363637,-63.45454545454545,-24.214827799784835,2334.509999999839,63.369087300804324,3141.9577272727593,-83.62486096492572,2867.981363635842,-10.453653193220628,131.27272727272728,2.4545454545454546,3.090909090909091,0.9090909090909091,0.9090909090909091,4552.492272727486,159.7877272727095,1567.1545454555016
222503,control,157.33333333333334,-93,91.75,-89.58333333333333,-26.394692453550633,1651.8512499982778,87.55490231718078,1449.3099999963404,-105.66679735039284,989.057916666472,-11.48812677818151,2402.5,2.6666666666666665,1.8333333333333333,1.1666666666666667,1,2878.950416664633,381.6466666649467,1594.892916664822
222503,phon,116.16666666666667,-146.33333333333334,72.66666666666667,-118.83333333333333,-6.5877839133894245,997.3854166662192,96.23701553365682,764.054999999748,-99.44112458194587,947.5916666671365,8.332435046856098,-2294.8333333333335,2.5,2.25,0.9166666666666666,0.75,2162.54208333208,0,747.1291666655974
